case_full_barcode	cmd	status	operation_id	num_of_repeats
TCGA-44-6778-11A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-44-6778-11A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_7_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-44-6778-11A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_7_rg.sorted.bam.bai,sample=TCGA-44-6778-11A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-44-6778-11A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-44-6778-11A-01D-1853-02	Running	ENz768zaLBiDqvC8qI7577YBIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	6.0
TCGA-44-6778-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-44-6778-10A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_6_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-44-6778-10A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_6_rg.sorted.bam.bai,sample=TCGA-44-6778-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-44-6778-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-44-6778-10A-01D-1853-02	Running	EM7epc3aLBig04vy__7zhRoggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	7.0
TCGA-44-6147-11A-01D-1751-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-44-6147-11A-01D-1751_111207_SN590_0112_D09CDACXX_s_2_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-44-6147-11A-01D-1751_111207_SN590_0112_D09CDACXX_s_2_rg.sorted.bam.bai,sample=TCGA-44-6147-11A-01D-1751-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-44-6147-11A-01D-1751-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-44-6147-11A-01D-1751-02	Running	ENW18tDaLBjwsuTtvcPj4dIBIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	7.0
TCGA-05-4250-10A-01D-1103-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4250-10A-01D-1103_120228_SN1120_0116_AD0KRVACXX_s_1_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4250-10A-01D-1103_120228_SN1120_0116_AD0KRVACXX_s_1_rg.sorted.bam.bai,sample=TCGA-05-4250-10A-01D-1103-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4250-10A-01D-1103-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4250-10A-01D-1103-02	Running	EPOHv9HaLBiDuea9pZjIpg8ggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	5.0
TCGA-05-4396-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4396-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_2_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4396-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_2_rg.sorted.bam.bai,sample=TCGA-05-4396-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4396-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4396-10A-01D-1853-02	Running	EP2bktDaLBi3o5zY5OyAqycggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	9.0
TCGA-05-4397-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4397-10A-01D-1203_120318_SN1120_0124_AC0HNPACXX_s_8_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4397-10A-01D-1203_120318_SN1120_0124_AC0HNPACXX_s_8_rg.sorted.bam.bai,sample=TCGA-05-4397-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4397-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4397-10A-01D-1203-02	Running	EPz5i9LaLBiC67_30fuyktABIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	7.0
TCGA-05-4398-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4398-10A-01D-1203_120322_SN208_0278_BD0RB0ACXX_s_4_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4398-10A-01D-1203_120322_SN208_0278_BD0RB0ACXX_s_4_rg.sorted.bam.bai,sample=TCGA-05-4398-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4398-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4398-10A-01D-1203-02	Running	ELvTuNDaLBi_gPPp1MvX4_0BIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	8.0
TCGA-05-4402-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/GRCh37-lite.fa,faifile=gs://ding_lab_reference/GRCh37-lite.fa.fai,dictfile=gs://ding_lab_reference/GRCh37-lite.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4402-10A-01D-1203-02_IlluminaHiSeq-DNASeq_whole.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4402-10A-01D-1203-02_IlluminaHiSeq-DNASeq_whole.bam.bai,sample=TCGA-05-4402-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4402-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4402-10A-01D-1203-02	Running	EJO85dHaLBiR7d6zlJLa3_QBIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	14.0
TCGA-05-4403-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/GRCh37-lite.fa,faifile=gs://ding_lab_reference/GRCh37-lite.fa.fai,dictfile=gs://ding_lab_reference/GRCh37-lite.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4403-10A-01D-1203-02_IlluminaHiSeq-DNASeq_whole.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4403-10A-01D-1203-02_IlluminaHiSeq-DNASeq_whole.bam.bai,sample=TCGA-05-4403-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4403-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4403-10A-01D-1203-02	Running	EL-hktDaLBiPufSqiJfDvB4ggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	10.0
TCGA-05-4405-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4405-10A-01D-1853_111204_SN208_0256_C0562ACXX_s_3_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4405-10A-01D-1853_111204_SN208_0256_C0562ACXX_s_3_rg.sorted.bam.bai,sample=TCGA-05-4405-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4405-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4405-10A-01D-1853-02	Running	EOzb-MvaLBjU1-T6sMzi3ngggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	6.0
